,customerEmail,transactionId,orderId,paymentMethodId,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,transactionAmount,transactionFailed,orderState
16,uchen@malone.com,kckrvagp,hm3rth,76bw9eqg2,0,apple pay,VISA 16 digit,46,1,fulfilled
17,uchen@malone.com,2slep8t9,vvq05w,s6escw45g,0,card,JCB 16 digit,68,0,fulfilled
18,uchen@malone.com,yd80pfko,xwo0al,76bw9eqg2,0,apple pay,VISA 16 digit,59,0,fulfilled
19,uchen@malone.com,ckk3ux58,2528x8,w1i1zq3rg,0,apple pay,American Express,32,0,fulfilled
20,robinsoncynthia@dunn.com,67qcpl0r,vq7j5b,n5fj5bc0e,0,card,VISA 16 digit,25,0,pending
21,samuel15@saunders-rhodes.com,9jutaun8,sq7rk9,je76d0ulj,0,apple pay,VISA 13 digit,40,1,fulfilled
22,samuel15@saunders-rhodes.com,lla8uo92,sq7rk9,je76d0ulj,0,apple pay,VISA 13 digit,40,0,fulfilled
23,johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled
24,johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled
25,johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed
26,johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled
27,johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled
28,johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled
29,jameslandry@rodriguez.com,idd9amrw,mtg9kj,yk3gx9knx,0,card,Discover,25,0,fulfilled
30,jameslandry@rodriguez.com,2ta3i8e2,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending
31,jameslandry@rodriguez.com,8pssnrcy,1b71xd,yk3gx9knx,0,card,Discover,21,0,pending
32,jameslandry@rodriguez.com,ksmxqqg3,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending
33,jameslandry@rodriguez.com,sihnojhc,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending
34,bowenwilliam@yahoo.com,fkxbbt2y,a0dh26,4nt3vg6nr,0,card,Discover,40,0,fulfilled
35,bowenwilliam@yahoo.com,i2xemksa,a0dh26,4nt3vg6nr,0,card,Discover,40,1,fulfilled
36,bowenwilliam@yahoo.com,ud4zmsnq,izik2o,4nt3vg6nr,0,card,Discover,18,0,pending
37,bowenwilliam@yahoo.com,wnlc7kcq,2sumqh,4nt3vg6nr,0,card,Discover,46,0,failed
38,bowenwilliam@yahoo.com,uqgebkxo,kcmymd,4nt3vg6nr,0,card,Discover,12,0,fulfilled
39,bowenwilliam@yahoo.com,9u7gmxy2,mocbj3,4nt3vg6nr,0,card,Discover,11,1,fulfilled
40,ksummers@hotmail.com,46ijodjq,ji75jj,14t4urgqg,0,card,Discover,12,0,fulfilled
41,ksummers@hotmail.com,xo1gdp22,5lyh0x,anpl44kz2,0,card,American Express,30,0,fulfilled
42,ksummers@hotmail.com,33jfoo59,ha14ey,14t4urgqg,0,card,Discover,49,1,fulfilled
43,ksummers@hotmail.com,i8bk4lna,ha14ey,ahnb9wv33,0,card,VISA 13 digit,49,0,fulfilled
44,ksummers@hotmail.com,7p73brx2,ni3keo,ahnb9wv33,0,card,VISA 13 digit,45,1,fulfilled
45,ksummers@hotmail.com,i8zlhilq,vvo42o,12sooz8hm,0,bitcoin,Maestro,28,0,fulfilled
46,ksummers@hotmail.com,zwl18ddd,vvo42o,ahnb9wv33,0,card,VISA 13 digit,28,1,fulfilled
47,christineklein@wright-boyd.org,fgobyd98,abc26t,9pfrhknoz,0,bitcoin,VISA 16 digit,10,0,fulfilled
48,christineklein@wright-boyd.org,c4fephmj,bdzhkd,ow9u8ogs4,0,card,VISA 16 digit,45,0,pending
49,christineklein@wright-boyd.org,07hkhmmf,l8smyt,ow9u8ogs4,0,card,VISA 16 digit,46,0,fulfilled
50,christineklein@wright-boyd.org,jz6qu6zy,0esxhp,ow9u8ogs4,0,card,VISA 16 digit,16,0,fulfilled
51,meganwalters@chavez.com,bhil44kr,ooxrwm,o2ct2h9fp,0,card,Mastercard,43,1,fulfilled
52,meganwalters@chavez.com,nw0a0y9s,ooxrwm,o2ct2h9fp,0,card,Mastercard,43,0,fulfilled
53,meganwalters@chavez.com,enl54gvp,2p3zor,o2ct2h9fp,0,card,Mastercard,34,1,fulfilled
54,meganwalters@chavez.com,hkcfpxan,2p3zor,o2ct2h9fp,0,card,Mastercard,34,0,fulfilled
55,caleb94@sutton.info,n7vnyysr,49zp0m,5a44rykx3,0,card,VISA 16 digit,19,0,failed
56,caleb94@sutton.info,mx7hay87,eqpu3r,5a44rykx3,0,card,VISA 16 digit,46,0,fulfilled
57,caleb94@sutton.info,vby375q9,gzlvco,5a44rykx3,0,card,VISA 16 digit,39,0,fulfilled
58,caleb94@sutton.info,1ti2lm0o,p1yden,5a44rykx3,0,card,VISA 16 digit,35,0,fulfilled
59,caleb94@sutton.info,fwq4f8bn,bkvs1p,5a44rykx3,0,card,VISA 16 digit,46,0,failed
60,gonzalesjackson@gmail.com,zcnztn97,s7dg4a,7964l78jo,0,apple pay,VISA 16 digit,50,0,fulfilled
61,gonzalesjackson@gmail.com,zx8st0gu,jlzkil,7964l78jo,0,apple pay,VISA 16 digit,41,0,fulfilled
62,gonzalesjackson@gmail.com,fzvbpn58,f8bsyg,7964l78jo,0,apple pay,VISA 16 digit,44,0,fulfilled
63,gonzalesjackson@gmail.com,1wa1s613,u3ogjs,7964l78jo,0,apple pay,VISA 16 digit,41,0,fulfilled
64,dana09@yahoo.com,3cryzmi3,giqilg,ww9fq10ca,0,bitcoin,JCB 16 digit,12,0,fulfilled
65,dana09@yahoo.com,koade5oa,giqilg,1lejsiqz7,0,card,JCB 16 digit,12,1,fulfilled
66,dana09@yahoo.com,2yzkbxnq,g56nmt,ww9fq10ca,0,bitcoin,JCB 16 digit,33,0,fulfilled
67,dana09@yahoo.com,okdmow3s,g56nmt,1lejsiqz7,0,card,JCB 16 digit,33,1,fulfilled
68,dana09@yahoo.com,wt1g1zul,g56nmt,ww9fq10ca,0,bitcoin,JCB 16 digit,33,1,fulfilled
69,dana09@yahoo.com,scls9w4j,2ai67b,1lejsiqz7,0,card,JCB 16 digit,40,0,fulfilled
70,alec27@bell.com,jbnf5zpw,28xxko,6n2psn50k,0,card,Voyager,34,0,pending
71,alec27@bell.com,60kuyxra,iyl91j,6n2psn50k,0,card,Voyager,12,0,fulfilled
72,alec27@bell.com,gj13pt1o,j7ene4,6n2psn50k,0,card,Voyager,30,0,fulfilled
73,alec27@bell.com,u6wa5ysx,j7ene4,6n2psn50k,0,card,Voyager,30,1,fulfilled
74,alec27@bell.com,vfrua0id,j7ene4,366dsl3w0,0,card,VISA 16 digit,30,1,fulfilled
75,alec27@bell.com,jh5r2s3s,mir5zf,366dsl3w0,0,card,VISA 16 digit,22,0,fulfilled
76,juliecook@hotmail.com,5855qbk5,p6g2g0,rqpuq19z6,0,card,Voyager,11,0,fulfilled
77,juliecook@hotmail.com,6lf1jy8o,7y5qly,rqpuq19z6,0,card,Voyager,14,0,fulfilled
78,meganberry@clark.biz,74b4ih1u,1d19rh,bcetnywn4,0,card,JCB 16 digit,37,0,fulfilled
79,meganberry@clark.biz,1u5d7k9y,deh1ao,bcetnywn4,0,card,JCB 16 digit,42,0,fulfilled
80,meganberry@clark.biz,o4z2x2e9,deh1ao,bcetnywn4,0,card,JCB 16 digit,42,1,fulfilled
81,meganberry@clark.biz,85k8mjpo,xdmwyo,bcetnywn4,0,card,JCB 16 digit,11,0,fulfilled
82,meganberry@clark.biz,ubm4tzca,00z9c8,bcetnywn4,0,card,JCB 16 digit,29,0,fulfilled
83,psantiago@nelson.net,6p2l2jxb,f5vg4r,yngba9iss,0,paypal,JCB 16 digit,31,0,fulfilled
84,harrisnicholas@mitchell-hancock.com,k5x38nss,xxn508,1adbjdqx8,0,card,American Express,33,0,failed
85,harrisnicholas@mitchell-hancock.com,6mas9ujn,5vvhqu,1adbjdqx8,0,card,American Express,47,1,fulfilled
86,harrisnicholas@mitchell-hancock.com,gkolnfbh,5vvhqu,llpmu63n4,0,apple pay,Mastercard,47,0,fulfilled
87,harrisnicholas@mitchell-hancock.com,vynq8mn9,o5mg40,1adbjdqx8,0,card,American Express,25,0,fulfilled
88,harrisnicholas@mitchell-hancock.com,3qr93r9x,dfwo2l,1adbjdqx8,0,card,American Express,25,0,fulfilled
89,harrisnicholas@mitchell-hancock.com,5ccytrgf,dfwo2l,llpmu63n4,0,apple pay,Mastercard,25,1,fulfilled
90,davismike@hotmail.com,74rrit1l,j8w6hq,otujzzu3i,1,bitcoin,Diners Club / Carte Blanche,33,0,fulfilled
91,davismike@hotmail.com,15adxvt9,vo9fep,otujzzu3i,1,bitcoin,Diners Club / Carte Blanche,48,0,failed
92,davismike@hotmail.com,lyq2dt5j,yqijlk,otujzzu3i,1,bitcoin,Diners Club / Carte Blanche,11,0,fulfilled
93,davismike@hotmail.com,upzpdr9y,yqijlk,otujzzu3i,1,bitcoin,Diners Club / Carte Blanche,11,1,fulfilled
94,natalie98@yahoo.com,c60my23d,ssdsca,kafhtdkmr,0,card,VISA 16 digit,23,0,fulfilled
95,karen54@mullins.biz,cw2apg23,xm4p49,4rdcaqhb7,1,card,American Express,38,0,fulfilled
96,karen54@mullins.biz,dgx25sxc,w3av5p,4rdcaqhb7,1,card,American Express,12,0,fulfilled
97,karen54@mullins.biz,o16cfq48,w3av5p,wlywsk5au,0,card,VISA 16 digit,12,1,fulfilled
98,karen54@mullins.biz,r3gj74vr,w3av5p,4rdcaqhb7,1,card,American Express,12,1,fulfilled
99,karen54@mullins.biz,n47dl09n,94y9qn,wlywsk5au,0,card,VISA 16 digit,15,1,failed
100,karen54@mullins.biz,q8z8feru,94y9qn,wlywsk5au,0,card,VISA 16 digit,15,0,failed
101,karen54@mullins.biz,5vwwh56j,h0j383,4rdcaqhb7,1,card,American Express,11,0,fulfilled
102,karen54@mullins.biz,lkq1ib9d,8iq07j,wlywsk5au,0,card,VISA 16 digit,39,0,failed
103,avaldez@gmail.com,j8cy8qqf,uotwbi,ogeeyw724,0,paypal,Maestro,19,1,fulfilled
104,avaldez@gmail.com,n4lw10e3,uotwbi,ogeeyw724,0,paypal,Maestro,19,0,fulfilled
105,blackjoel@wright.com,ueos82ny,f3zu8d,jud25x4mo,0,card,Maestro,45,0,fulfilled
106,blackjoel@wright.com,p5gx6q9w,kv9he2,jud25x4mo,0,card,Maestro,50,0,fulfilled
107,blackjoel@wright.com,2zbevcd8,cs48h5,jud25x4mo,0,card,Maestro,42,0,fulfilled
108,blackjoel@wright.com,r1r4ce3k,eonqhv,jud25x4mo,0,card,Maestro,10,0,fulfilled
109,blackjoel@wright.com,er8zjgzm,zxk81a,jud25x4mo,0,card,Maestro,30,1,fulfilled
110,blackjoel@wright.com,hqtzz2ib,zxk81a,jud25x4mo,0,card,Maestro,30,0,fulfilled
111,abigail08@yahoo.com,oquhv695,naiygn,st34e000q,0,card,VISA 16 digit,48,0,failed
112,abigail08@yahoo.com,r6c5d2vo,naiygn,st34e000q,0,card,VISA 16 digit,48,1,failed
113,abigail08@yahoo.com,1aq5meg1,any2ki,st34e000q,0,card,VISA 16 digit,42,1,pending
114,abigail08@yahoo.com,zu65tthv,any2ki,st34e000q,0,card,VISA 16 digit,42,0,pending
115,abigail08@yahoo.com,97sqcd6l,l98c04,tfcg9eqwk,1,card,Maestro,29,0,fulfilled
116,catherine64@gmail.com,s3hfs4fc,j4izq0,5ad6rm0sb,0,card,Maestro,65,0,failed
117,catherine64@gmail.com,8810813t,81bac4,rc5kwqehi,0,bitcoin,VISA 13 digit,75,0,pending
118,catherine64@gmail.com,iw7bakk3,y73qvk,0lqd0lah5,0,bitcoin,JCB 16 digit,58,0,fulfilled
119,catherine64@gmail.com,w2nnyowa,y73qvk,5ad6rm0sb,0,card,Maestro,58,1,fulfilled
120,catherine64@gmail.com,c2b8df2a,sd4v17,0tvw8yj4z,0,card,JCB 16 digit,58,0,fulfilled
121,romerolauren@hotmail.com,xph56a1n,ag3x4z,243b5b285,0,card,VISA 16 digit,32,0,fulfilled
122,romerolauren@hotmail.com,nonzx5wh,rn62d8,243b5b285,0,card,VISA 16 digit,36,0,fulfilled
123,qramsey@hotmail.com,5hj630hg,x4u7kx,yi3002uzs,0,card,Maestro,14,1,fulfilled
124,qramsey@hotmail.com,pz9du9rq,x4u7kx,yi3002uzs,0,card,Maestro,14,0,fulfilled
125,qramsey@hotmail.com,fv1q37k3,du631k,uljh0fhae,0,card,VISA 16 digit,15,0,fulfilled
126,qramsey@hotmail.com,mh712ehl,eunjto,yi3002uzs,0,card,Maestro,46,0,fulfilled
127,qramsey@hotmail.com,7sfult79,mlsqph,yi3002uzs,0,card,Maestro,18,0,fulfilled
128,qramsey@hotmail.com,wmbgls2d,pe8fke,yi3002uzs,0,card,Maestro,30,0,failed
129,9es7t@u6n7x,7m39em4p,3b9vdf,wl0wgtfn2,0,card,Voyager,16,1,fulfilled
130,9es7t@u6n7x,yz35aas7,3b9vdf,wl0wgtfn2,0,card,Voyager,16,0,fulfilled
131,ypruitt@hotmail.com,h7huu8lz,wc0qut,vwdxqd00s,0,card,JCB 15 digit,30,0,fulfilled
132,ypruitt@hotmail.com,t55qhcm8,8o9ef7,vwdxqd00s,0,card,JCB 15 digit,38,0,fulfilled
133,ypruitt@hotmail.com,bzubcvnz,5pwn81,vwdxqd00s,0,card,JCB 15 digit,49,0,fulfilled
134,ypruitt@hotmail.com,qyw32m2v,l72b2v,vwdxqd00s,0,card,JCB 15 digit,29,0,fulfilled
135,aweaver@yahoo.com,0exoy858,lly25f,1ov4r2jr5,0,card,VISA 16 digit,20,0,fulfilled
136,richard05@hanson-key.org,j3vtxcy9,pkajko,ip4pd9xyu,0,card,Discover,40,0,fulfilled
137,paul86@hotmail.com,kuqkfynb,4w6x1p,j6vt0l11e,0,apple pay,JCB 16 digit,44,1,fulfilled
138,paul86@hotmail.com,rk0m8roe,4w6x1p,j6vt0l11e,0,apple pay,JCB 16 digit,44,0,fulfilled
139,mark02@young.com,rxcql0ld,gkwd8g,w3c453rd8,0,card,Diners Club / Carte Blanche,10,0,fulfilled
140,mark02@young.com,aq1qv1td,pypyvi,xci7mpl5h,0,paypal,VISA 16 digit,34,0,fulfilled
141,mark02@young.com,w2tqx0ln,pypyvi,xci7mpl5h,0,paypal,VISA 16 digit,34,1,fulfilled
142,mark02@young.com,xu7b9kcr,fq1ooh,w3c453rd8,0,card,Diners Club / Carte Blanche,39,0,fulfilled
143,mark02@young.com,fn1847f0,qb4l0y,xci7mpl5h,0,paypal,VISA 16 digit,49,0,fulfilled
144,brandon58@conner.com,bczklypo,aj6j5x,r0735q7at,0,card,JCB 15 digit,29,0,fulfilled
145,brandon58@conner.com,75p8ugk5,gf3kf8,r0735q7at,0,card,JCB 15 digit,25,0,fulfilled
146,brandon58@conner.com,p237hz8y,gf3kf8,r0735q7at,0,card,JCB 15 digit,25,1,fulfilled
147,brandon58@conner.com,e6vl0gpx,v1sq5r,r0735q7at,0,card,JCB 15 digit,14,1,fulfilled
148,brandon58@conner.com,fo3oz01r,v1sq5r,r0735q7at,0,card,JCB 15 digit,14,1,fulfilled
149,brandon58@conner.com,fqqaqp6q,v1sq5r,r0735q7at,0,card,JCB 15 digit,14,0,fulfilled
150,brandon58@conner.com,lesb2kxu,v1sq5r,r0735q7at,0,card,JCB 15 digit,14,1,fulfilled
151,brandon58@conner.com,w3jgb8qt,v1sq5r,r0735q7at,0,card,JCB 15 digit,14,1,fulfilled
152,johnlowery@gmail.com,7sdl8reg,kr2w5f,tfff8yjzo,0,card,American Express,32,0,failed
153,johnlowery@gmail.com,i25dewqi,kr2w5f,tfff8yjzo,0,card,American Express,32,1,failed
154,johnlowery@gmail.com,bpvdqkr7,4x7vmr,tfff8yjzo,0,card,American Express,21,0,fulfilled
155,jamescampbell@randall-pacheco.biz,n53a4z93,typkze,suusse06u,0,card,VISA 13 digit,10,0,fulfilled
156,jamescampbell@randall-pacheco.biz,nq16vew4,typkze,c4lqxg7tb,0,card,Discover,10,1,fulfilled
157,jamescampbell@randall-pacheco.biz,r40gi7kt,typkze,c4lqxg7tb,0,card,Discover,10,1,fulfilled
158,jamescampbell@randall-pacheco.biz,so2vwp1v,gar4v9,c4lqxg7tb,0,card,Discover,11,1,fulfilled
159,jamescampbell@randall-pacheco.biz,ulr6tqlz,gar4v9,c4lqxg7tb,0,card,Discover,11,0,fulfilled
160,jamescampbell@randall-pacheco.biz,8hc4ygjd,ougwoy,suusse06u,0,card,VISA 13 digit,47,0,fulfilled
161,jamescampbell@randall-pacheco.biz,vpzfovrf,ougwoy,c4lqxg7tb,0,card,Discover,47,1,fulfilled
162,briana34@gmail.com,2gd1xtoz,brzg7e,qkhsgv41q,0,paypal,Maestro,50,0,fulfilled
163,briana34@gmail.com,z292pjgq,tex5rp,h2awlopgd,0,apple pay,JCB 16 digit,39,0,fulfilled
164,briana34@gmail.com,0xj8t0jz,o2xkjm,qkhsgv41q,0,paypal,Maestro,18,0,fulfilled
165,briana34@gmail.com,ji0xd4so,o2xkjm,qkhsgv41q,0,paypal,Maestro,18,1,fulfilled
166,briana34@gmail.com,7o924iwu,z11a6h,h2awlopgd,0,apple pay,JCB 16 digit,29,0,fulfilled
167,briana34@gmail.com,4bce098o,8id3sg,qkhsgv41q,0,paypal,Maestro,41,1,pending
168,briana34@gmail.com,zrro6kto,8id3sg,qkhsgv41q,0,paypal,Maestro,41,0,pending
169,jonesandrea@gray.biz,jjnhdzhb,sqfq9g,gxjchyxfz,0,paypal,JCB 16 digit,45,0,fulfilled
170,jonesandrea@gray.biz,cmlxddnq,lco8r4,gxjchyxfz,0,paypal,JCB 16 digit,22,0,fulfilled
171,jonesandrea@gray.biz,kyzfj2ta,d1mfum,gxjchyxfz,0,paypal,JCB 16 digit,29,0,fulfilled
172,kristina41@gmail.com,o022s00u,d6sbjc,bkopk7uzs,0,card,VISA 16 digit,51,1,fulfilled
173,kristina41@gmail.com,w7ludkyz,d6sbjc,bkopk7uzs,0,card,VISA 16 digit,51,0,fulfilled
174,kristina41@gmail.com,ohw0eoga,izroq8,bwj2e7i76,0,card,Mastercard,36,0,fulfilled
175,kristina41@gmail.com,uusnh2tp,9spaf7,bwj2e7i76,0,card,Mastercard,60,0,fulfilled
176,kristina41@gmail.com,0niv9sm2,8f7mcp,bwj2e7i76,0,card,Mastercard,52,0,fulfilled
177,kristina41@gmail.com,by1ob38p,xwtnot,bwj2e7i76,0,card,Mastercard,68,0,fulfilled
178,kristina41@gmail.com,h96uhgzk,iaousp,cm5dp45zh,0,apple pay,JCB 16 digit,51,0,fulfilled
179,nolanalec@yahoo.com,uzxl7bjx,48pqsb,k5n97dkql,0,card,JCB 15 digit,31,0,fulfilled
180,nolanalec@yahoo.com,6vdayna1,tprxxg,7am579wop,0,card,Maestro,36,0,fulfilled
181,nolanalec@yahoo.com,3rc2nhqf,3j539y,7am579wop,0,card,Maestro,42,0,fulfilled
182,nolanalec@yahoo.com,83llpfdj,q4rqn8,7am579wop,0,card,Maestro,35,1,fulfilled
183,nolanalec@yahoo.com,rhgbdlfu,q4rqn8,7am579wop,0,card,Maestro,35,0,fulfilled
184,spencer77@reid.com,9pqd6ebh,phfc5z,bv4rt0waw,0,card,JCB 16 digit,17,0,fulfilled
185,spencer77@reid.com,9udno8l3,phfc5z,bv4rt0waw,0,card,JCB 16 digit,17,1,fulfilled
186,spencer77@reid.com,h0heqcju,phfc5z,kvc38kle1,0,card,JCB 16 digit,17,1,fulfilled
187,spencer77@reid.com,obe4ky4l,phfc5z,kvc38kle1,0,card,JCB 16 digit,17,1,fulfilled
188,spencer77@reid.com,62dks9yz,7g535w,bv4rt0waw,0,card,JCB 16 digit,33,0,failed
189,uguzman@yahoo.com,ftiso5mr,32rax6,73a2hlmnm,0,card,VISA 16 digit,353,1,fulfilled
190,ssmith@levine-harmon.biz,3f97a9jm,9ekv8b,was3bq380,0,card,Voyager,17,0,fulfilled
191,ssmith@levine-harmon.biz,qblbbsr6,l4l6tx,k5xriv8co,1,card,Maestro,24,1,fulfilled
192,ssmith@levine-harmon.biz,uriznwe8,l4l6tx,was3bq380,0,card,Voyager,24,0,fulfilled
193,ssmith@levine-harmon.biz,wpumno5r,y4a3bt,k5xriv8co,1,card,Maestro,35,0,pending
194,ssmith@levine-harmon.biz,th1lhv8t,xtmpum,k5xriv8co,1,card,Maestro,32,0,fulfilled
195,ssmith@levine-harmon.biz,6qb7pwgb,y50p63,was3bq380,0,card,Voyager,36,1,fulfilled
196,ssmith@levine-harmon.biz,cyob52xd,y50p63,k5xriv8co,1,card,Maestro,36,1,fulfilled
197,ssmith@levine-harmon.biz,fu5bnafm,y50p63,k5xriv8co,1,card,Maestro,36,1,fulfilled
198,feliciabrown@gmail.com,55tz7m12,jp7kqk,0ma0yi3jg,0,card,JCB 16 digit,41,0,fulfilled
199,dianacook@gmail.com,mivfzxfz,23cqz5,yu71nlc3z,0,card,JCB 16 digit,19,0,failed
200,dianacook@gmail.com,xmzhdlhj,23cqz5,yu71nlc3z,0,card,JCB 16 digit,19,1,failed
201,dianacook@gmail.com,6nfh2k77,gxeyl2,yu71nlc3z,0,card,JCB 16 digit,20,0,fulfilled
202,cookbenjamin@hotmail.com,7p1c81gx,zllwa6,wejtuspvr,0,card,Mastercard,37,1,fulfilled
203,cookbenjamin@hotmail.com,odva1tei,zllwa6,wejtuspvr,0,card,Mastercard,37,1,fulfilled
204,cookbenjamin@hotmail.com,wxb335un,zllwa6,wejtuspvr,0,card,Mastercard,37,0,fulfilled
205,cookbenjamin@hotmail.com,hyknr1f4,znlrfn,wejtuspvr,0,card,Mastercard,14,0,fulfilled
206,cookbenjamin@hotmail.com,1qfz6ocd,rl4qc1,wejtuspvr,0,card,Mastercard,49,0,fulfilled
207,cookbenjamin@hotmail.com,mctz3wea,6s4aem,wejtuspvr,0,card,Mastercard,43,0,fulfilled
208,joserowland@jones.com,yjfirs14,u5a84z,r2v5bgqxf,0,card,VISA 16 digit,31,0,fulfilled
209,joserowland@jones.com,hrzejsy4,809d5o,f3l73qqm9,0,card,American Express,46,0,fulfilled
210,joserowland@jones.com,6xtouwt2,734b9q,f3l73qqm9,0,card,American Express,16,0,fulfilled
211,joserowland@jones.com,u2mtko2f,02x0ec,yym5xo9qi,0,card,Diners Club / Carte Blanche,15,0,fulfilled
212,pattersonphilip@yahoo.com,61k4wiml,wg4ai4,6954oj7dx,0,paypal,JCB 16 digit,18,0,failed
213,pattersonphilip@yahoo.com,tuyrl147,dkwhx7,6954oj7dx,0,paypal,JCB 16 digit,16,0,fulfilled
214,pattersonphilip@yahoo.com,cattpxq6,5ref00,6954oj7dx,0,paypal,JCB 16 digit,39,0,pending
215,pattersonphilip@yahoo.com,kn2hi7mn,4clclj,ujky4teqc,0,card,American Express,37,0,fulfilled
216,hj8maoy@1jcfcxs7,ixardum8,qfteet,7b7gmp8al,0,card,VISA 16 digit,12,0,failed
217,hj8maoy@1jcfcxs7,01qy7cu0,8a35qi,7b7gmp8al,0,card,VISA 16 digit,48,1,failed
218,hj8maoy@1jcfcxs7,b2llml7i,8a35qi,7b7gmp8al,0,card,VISA 16 digit,48,0,failed
219,hj8maoy@1jcfcxs7,cwqkwqg6,sw4bii,7b7gmp8al,0,card,VISA 16 digit,41,0,fulfilled
220,hj8maoy@1jcfcxs7,ao9gm8ru,5xh1fc,7b7gmp8al,0,card,VISA 16 digit,29,0,fulfilled
221,hj8maoy@1jcfcxs7,eyudgsxk,m6pkzg,pr3xs6kdy,0,paypal,VISA 13 digit,22,0,fulfilled
222,finleybrianna@yahoo.com,gec3i717,np9ggp,l1qil6tjh,0,card,American Express,44,0,fulfilled
223,finleybrianna@yahoo.com,e9cfoezm,8zs126,l1qil6tjh,0,card,American Express,43,1,failed
224,finleybrianna@yahoo.com,vln8ddqj,8zs126,l1qil6tjh,0,card,American Express,43,1,failed
225,finleybrianna@yahoo.com,20fwt83g,9416gf,l1qil6tjh,0,card,American Express,41,0,fulfilled
226,finleybrianna@yahoo.com,203fxp7y,6avmqe,l1qil6tjh,0,card,American Express,16,1,fulfilled
227,finleybrianna@yahoo.com,7sajyzm4,6avmqe,l1qil6tjh,0,card,American Express,16,0,fulfilled
228,finleybrianna@yahoo.com,ybvvmxmd,6avmqe,l1qil6tjh,0,card,American Express,16,1,fulfilled
229,suzanne21@gmail.com,hpcgclef,l4hhqu,6ke43eyg9,0,card,Voyager,37,0,failed
230,suzanne21@gmail.com,5mub2d51,z2x7az,6ke43eyg9,0,card,Voyager,31,0,fulfilled
231,suzanne21@gmail.com,vdwjlp18,z2x7az,6ke43eyg9,0,card,Voyager,31,1,fulfilled
232,suzanne21@gmail.com,95qmlxm7,910715,5i61lz4t2,0,bitcoin,Discover,24,0,fulfilled
233,suzanne21@gmail.com,jreh2bkw,910715,5i61lz4t2,0,bitcoin,Discover,24,1,fulfilled
234,johnlowery@gmail.com,qenelvvf,3ougge,opyep1aoj,0,card,VISA 16 digit,11,1,fulfilled
235,johnlowery@gmail.com,w5wkltds,3ougge,opyep1aoj,0,card,VISA 16 digit,11,0,fulfilled
236,johnlowery@gmail.com,m0vig74t,6p7c0x,opyep1aoj,0,card,VISA 16 digit,42,0,fulfilled
237,johnlowery@gmail.com,ao66pcnh,dd8z28,opyep1aoj,0,card,VISA 16 digit,37,0,fulfilled
